rule,selected_count,examples
identity,351539,aa->aa | aaa->aaa | aah->aah | aalborg->aalborg | aalii->aalii | aalst->aalst | aalto->aalto | aar->aar | aardvark->aardvark | aardwolf->aardwolf | aare->aare | aarhus->aarhus
ant_strip,517,aberrant->aberr | abeyant->abey | acceptant->accept | accordant->accord | accountant->account | adamant->adam | adulterant->adult | affiant->affi | appellant->appell | appendant->append | applicant->appl | arcsecant->arcsec
ality_to_al,515,abnormality->abnormal | actuality->actual | amorality->amoral | animality->animal | artificiality->artificial | asexuality->asexual | atonality->atonal | atypicality->atypic | banality->banal | bestiality->bestial | bilaterality->bilateral | bisexuality->bisexual
ae_to_a,486,acaridae->acarida | algae->algum | araneae->aranea | ascidiaceae->ascidiacea | blae->bla | bovinae->bovina | brae->bra | cannae->cannon | cestidae->cestida | compositae->compositum | ephemeridae->ephemerida | exuviae->exuvia
ary_strip,482,ablutionary->ablution | abolitionary->abolition | accessary->access | accretionary->accrete | actuary->actu | alimentary->ali | antiphonary->antiphon | arborary->arb | barbary->barb | basilary->basil | beggary->begg | biliary->bili
ion_strip,477,abscission->absciss | acanthion->acanth | accession->access | accordion->accord | action->act | aggression->aggress | albion->alb | amnion->amn | asterion->ast | battalion->battal | billion->bill | bullion->bull
ity_strip,469,absurdity->absurd | acerbity->acerb | acidity->acid | acridity->acrid | acuity->acu | algidity->algid | ambidexterity->ambidexter | ambiguity->ambigu | amenity->amen | angularity->angular | annuity->annu | anonymity->anonym
ling_strip,443,brisling->bris | catling->cat | changeling->change | codling->cod | cymling->cym | darkling->dark | darling->dar | duckling->duck | dumpling->dump | earthling->earth | fingerling->fing | fledgeling->fledge
ity_to_e,426,abstrusity->abstruse | adiposity->adipose | adversity->adverse | affinity->affine | agility->agile | alkalinity->alkaline | antiquity->antique | asininity->asinine | audacity->audace | austerity->austere | autoimmunity->autoimmune | bellicosity->bellicose
dom_strip,417,boredom->bore | christendom->chr | condom->con | dukedom->duke | earldom->earl | fandom->fan | fiefdom->fief | filmdom->film | freedom->free | gangdom->gang | kingdom->king | martyrdom->martyr
wise_strip,398,breadthwise->breadth | broadwise->broad | clockwise->clock | coastwise->coast | crabwise->crab | crosswise->cross | edgewise->edge | endwise->end | leastwise->least | lengthwise->length | likewise->like | longwise->long
ied_to_y,394,accompanied->accompany | allied->ally | applied->app | astonied->astony | atrophied->atrophy | balconied->balcony | beatified->beatify | bellied->bel | berried->berry | bodied->body | bountied->bounty | buried->bury
ance_strip,390,aberrance->aberr | abeyance->abey | abidance->abid | absorbance->absorb | absorptance->absorpt | acceptance->accept | accordance->accord | acquaintance->acquaint | adamance->adam | admittance->admitt | advance->adv | affiance->affi
men_to_man,322,bremen->breman | businessmen->businessman | dolmen->dolman | hymen->hyman | limen->liman | linemen->lineman | lumen->luman | numen->numan | rumen->ruman | semen->seman | turkmen->turkman | turkomen->turkoman
hood_strip,307,adulthood->adult | babyhood->baby | bachelorhood->bachel | boyhood->boy | brotherhood->broth | childhood->child | falsehood->false | fatherhood->fathe | geezerhood->geez | girlhood->girl | greenhood->green | hardihood->hardi
ster_strip,300,alabaster->alaba | baluster->balu | banister->banus | bannister->banni | barrister->barrus | blister->bli | bolster->bol | cadaster->cada | canister->canus | cluster->clu | clyster->cly | demister->demus
lessness_to_less,293,agelessness->age | aimlessness->aim | artlessness->art | blamelessness->blame | bottomlessness->bottom | boundlessness->bound | breathlessness->breath | carelessness->care | ceaselessness->cease | changelessness->change | cheerlessness->chee | childlessness->child
ent_strip,287,absorbent->absorb | accident->accid | accumbent->accumb | adsorbent->adsorb | advertent->advert | afferent->af | ambient->ambi | ancient->ancus | apparent->appar | appetent->appet | ascendent->ascend | beneficent->benef
ies_to_ie,263,hippies->hippie | mounties->mountie | series->serie | species->specie | panties->pantie | indies->indie | macies->macie | facies->facie | andries->andrie | outagamies->outagamie | folies->folie | whoopsies->whoopsie
fulness_to_ful,258,artfulness->art | awfulness->awful | balefulness->bale | bashfulness->bash | blissfulness->bliss | boastfulness->boast | bountifulness->bountiful | carefulness->care | changefulness->change | cheerfulness->chee | deceitfulness->deceit | disdainfulness->disdain
est_strip,250,afforest->aff | anapaest->anapa | anapest->anap | bedrest->bedr | dearest->dear | digest->dig | dishonest->dishon | disinterest->disinter | earnest->earn | eldest->eld | everest->ever | fastest->fast
ibility_to_ible,248,accessibility->access | admissibility->admissible | audibility->aud | combustibility->combust | compatibility->compat | comprehensibility->comprehensible | compressibility->compress | contemptibility->contempt | convertibility->convert | corruptibility->corrupt | credibility->cred | defensibility->defen
ible_strip,248,accessible->access | addible->add | admittible->admitt | ascendible->ascend | audible->aud | avertible->avert | collectible->collect | combustible->combust | comestible->come | compatible->compat | comprehendible->comprehend | compressible->compress
isation_to_ise,243,acclimatisation->acclimatise | actualisation->actualise | alphabetisation->alphabetise | americanisation->americanise | amortisation->amortise | anathematisation->anathematise | anglicisation->anglicise | animalisation->animalise | atomisation->atomise | authorisation->authorise | barbarisation->barbarise | bastardisation->bastardise
ward_strip,237,afterward->aft | awkward->awk | backward->back | coastward->coast | downward->down | eastward->east | forward->for | frontward->front | froward->fro | greensward->green | heavenward->heav | heyward->hey
iest_to_y,208,earliest->ear | priest->pry | spriest->spry | massiest->massy | driest->dry | onliest->only | toriest->tory | worthiest->worthy | wriest->wry | easiest->easy | crummiest->crummy | underpriest->underpry
ence_strip,201,abience->abi | absence->abs | accidence->accid | adience->adi | advertence->advert | ambience->ambi | appetence->appet | ascendence->ascend | audience->audi | beneficence->benef | cadence->cad | circumference->circumfer
icity_to_ic,189,achromaticity->achromat | analyticity->analyt | anthropocentricity->anthropocentric | atonicity->aton | authenticity->authentic | bioelectricity->bioelectric | catholicity->catholic | chromaticity->chromatic | concentricity->concentric | cubicity->cubic | cyclicity->cycl | cytotoxicity->cytotoxic
ibly_to_ible,167,audibly->aud | compatibly->compat | contemptibly->contempt | credibly->cred | feasibly->fea | flexibly->flex | forcibly->forc | horribly->horr | illegibly->illeg | imperceptibly->imperceptible | impermissibly->impermissible | implausibly->implausible
ious_to_y,165,acrimonious->acrimony | antimonious->antimony | arsenious->arseny | auspicious->auspicy | autoecious->autoecy | burglarious->burglary | calumnious->calumny | carious->cary | ceremonious->ceremony | contrarious->contr | contumacious->contumacy | contumelious->contumely
ivity_to_ive,148,absorptivity->absorptive | acclivity->acclive | activity->active | captivity->captive | compulsivity->compulsive | conductivity->conductive | connectivity->connective | correlativity->correlative | creativity->creative | declivity->declive | directivity->directive | effectivity->effective
tion_to_te,139,absolution->absolute | accretion->accrete | acquisition->acquisite | allocution->allocute | apposition->apposite | attribution->attribute | attrition->attrite | circumlocution->circumlocute | circumvolution->circumvolute | coalition->coalite | completion->complete | composition->composite
osity_to_ous,134,animosity->anim | callosity->call | curiosity->curi | fibrosity->fibrous | generosity->gene | gibbosity->gibb | glutinosity->glutin | heterozygosity->heterozygous | homozygosity->homozygous | impetuosity->impetuous | luminosity->lumin | meticulosity->meticulous
est_add_e,120,behest->behe | closest->close | congest->conge | contest->conte | deforest->defore | detest->dete | divest->dive | forest->fore | furthest->furthe | honest->hone | inquest->inque | invest->inve
sion_to_se,119,affusion->affuse | aspersion->asperse | aversion->averse | avulsion->avulse | circumcision->circumcise | comprehension->comprehense | concision->concise | confusion->confuse | contusion->contuse | conversion->converse | convulsion->convulse | diffusion->diffuse
